album,author,bits,date,download_password,download_url,file_format,info,language,music,size,title
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1eRKWAXk,flac,"选自专辑《25》,Kbps,24.7M,英语,2016-08-02",英语,Why Do You Love Me,24.7M,Adele - Why Do You Love Me.flac
选自专辑《Solidays》,Adele,Kbps,2016-08-15,无,http://pan.baidu.com/s/1pLKpnCJ,ape,"选自专辑《Solidays》,Kbps,23.7M,粤语,2016-08-15",粤语,月球上的人(live),23.7M,Adele - 月球上的人(live).ape
选自专辑《》,Adele,Kbps,2016-08-13,无,http://pan.baidu.com/s/1slGNru1,flac,"选自专辑《》,Kbps,360M,英语,2016-08-13",英语,专辑《25》,360M,Adele - 专辑《25》.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1c7hNMQ,flac,"选自专辑《25》,Kbps,25M,英语,2016-08-02",英语,All I Ask,25M,Adele - All I Ask.flac
选自专辑《Ultimate Air Supply》,Air Supply,1411Kbps,2015-10-09,2egs,http://pan.baidu.com/s/1pJvf94v,wav,"选自专辑《Ultimate Air Supply》,1411Kbps,41.7M,英语,2015-10-09",英语,All Out Of Love,41.7M,Air Supply - All Out Of Love.wav
选自专辑《Forever Love: 36 Greatest Hits 1980-2001(Disc 1)》,Air Supply,896Kbps,2014-08-24,od7r,http://pan.baidu.com/s/1mgLYIxi,ape,"选自专辑《Forever Love: 36 Greatest Hits 1980-2001(Disc 1)》,896Kbps,36.5M,英语,2014-08-24",英语,Making Love Out Of Nothing At All,36.5M,Air Supply - Making Love Out Of Nothing At All.ape
选自专辑《Alicia Keys-VH1 Storytellers (Live)》,Alicia Keys,862Kbps,2014-08-16,gl8s,http://pan.baidu.com/s/1ntkcKsx,ape,"选自专辑《Alicia Keys-VH1 Storytellers (Live)》,862Kbps,30.5M,英语,2014-08-16",英语,Girl On Fire,30.5M,Alicia Keys - Girl On Fire.ape
选自专辑《19 (Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1hskAN56,flac,"选自专辑《19 (Deluxe Edition)》,Kbps,20.6M,英语,2016-07-31",英语,My Same,20.6M,Adele - My Same.flac
选自专辑《Freedom》,Alicia Keys,854Kbps,2015-09-18,pxrs,http://pan.baidu.com/s/1eQuazXg,flac,"选自专辑《Freedom》,854Kbps,20.5M,英语,2015-09-18",英语,28 Thousand Days,20.5M,Alicia Keys - 28 Thousand Days.flac
选自专辑《Beginner》,AKB48,1120Kbps,2014-06-04,n2bq,http://pan.baidu.com/s/1eQIfzkI,ape,"选自专辑《Beginner》,1120Kbps,31.7M,日语,2014-06-04",日语,Beginner,31.7M,AKB48 - Beginner.ape
选自专辑《Alicia Keys-VH1 Storytellers (Live)》,Alicia Keys,861Kbps,2014-08-29,t3q7,http://pan.baidu.com/s/1cX7hc,ape,"选自专辑《Alicia Keys-VH1 Storytellers (Live)》,861Kbps,30.5M,英语,2014-08-29",英语,Girl On Fire,30.5M,Alicia Keys - Girl On Fire.ape
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1dFJmR9f,flac,"选自专辑《25》,Kbps,22.5M,国语,2016-08-01",国语,Remedy,22.5M,Adele - Remedy.flac
选自专辑《Chasing Pavements》,Adele,1411Kbps,2015-07-13,em38,http://pan.baidu.com/s/1eQpmeR4,wav,"选自专辑《Chasing Pavements》,1411Kbps,35.7M,英语,2015-07-13",英语,Chasing Pavements,35.7M,Adele - Chasing Pavements.wav
选自专辑《21》,Adele,Kbps,2016-07-29,无,http://pan.baidu.com/s/1dECQTLR,wav,"选自专辑《21》,Kbps,37.2M,国语,2016-07-29",国语,Rumour Has It,37.2M,Adele - Rumour Has It.wav
选自专辑《电视剧《新白娘子传奇》插曲》,左宏元,765Kbps,2015-02-09,m46j,http://pan.baidu.com/s/1pJwoxQz,ape,"选自专辑《电视剧《新白娘子传奇》插曲》,765Kbps,15.6M,国语,2015-02-09",国语,神仙歌,15.6M,左宏元 - 神仙歌.ape
选自专辑《新白娘子传奇 电视原声带》,左宏元,791Kbps,2013-12-15,1mmj,http://pan.baidu.com/s/1o6M8s46,ape,"选自专辑《新白娘子传奇 电视原声带》,791Kbps,18.5M,国语,2013-12-15",国语,渡情,18.5M,左宏元 - 渡情.ape
选自专辑《梦开始的地方》,邹宏宇,920Kbps,2013-10-29,mxwd,http://pan.baidu.com/s/1hqJwIA4,ape,"选自专辑《梦开始的地方》,920Kbps,27.8M,国语,2013-10-29",国语,灿烂人生路,27.8M,邹宏宇 - 灿烂人生路.ape
选自专辑《天蓝》,卓亚君,840Kbps,2014-06-28,d998,http://pan.baidu.com/s/1bnCMvmR,ape,"选自专辑《天蓝》,840Kbps,22.3M,国语,2014-06-28",国语,天蓝,22.3M,卓亚君 - 天蓝.ape
选自专辑《反正卓文萱》,卓文萱,966Kbps,2014-06-04,6y9u,http://pan.baidu.com/s/1c0CJP9Q,flac,"选自专辑《反正卓文萱》,966Kbps,25.5M,国语,2014-06-04",国语,不要不要,25.5M,卓文萱 - 不要不要.flac
选自专辑《最难忘的你》,祖海,1411Kbps,2015-05-06,hkir,http://pan.baidu.com/s/1sjmed8T,flac,"选自专辑《最难忘的你》,1411Kbps,30.9M,国语,2015-05-06",国语,为了谁,30.9M,祖海 - 为了谁.flac
选自专辑《天竺少女》,祖海,803Kbps,2015-08-10,nmak,http://pan.baidu.com/s/14ptym,flac,"选自专辑《天竺少女》,803Kbps,21.9M,国语,2015-08-10",国语,天竺少女,21.9M,祖海 - 天竺少女.flac
选自专辑《Play N Fun 1+1》,卓文萱,915Kbps,2014-06-09,w053,http://pan.baidu.com/s/1c08ak5y,ape,"选自专辑《Play N Fun 1+1》,915Kbps,27.4M,国语,2014-06-09",国语,一秒也好,27.4M,卓文萱 - 一秒也好.ape
选自专辑《中国风》,庄学忠,1411Kbps,2015-01-05,fg4y,http://pan.baidu.com/s/1dDlIyNR,wav,"选自专辑《中国风》,1411Kbps,650.1M,国语,2015-01-05",国语,专辑《中国风》整轨无损,650.1M,庄学忠 - 专辑《中国风》整轨无损.wav
选自专辑《Play N Fun 1+1》,卓文萱,867Kbps,2014-07-15,dos9,http://pan.baidu.com/s/1i3mmgBj,ape,"选自专辑《Play N Fun 1+1》,867Kbps,30.6M,国语,2014-07-15",国语,1+1,30.6M,卓文萱 - 1+1.ape
选自专辑《习惯》,卓文萱,899Kbps,2015-02-13,712o,http://pan.baidu.com/s/1kTsYRHl,flac,"选自专辑《习惯》,899Kbps,28.6M,国语,2015-02-13",国语,爱我好吗,28.6M,卓文萱 - 爱我好吗.flac
选自专辑《灼乐感》,卓文萱,944Kbps,2015-07-04,sd3v,http://pan.baidu.com/s/1gdtnmWN,flac,"选自专辑《灼乐感》,944Kbps,24.0M,国语,2015-07-04",国语,心爱的,24.0M,卓文萱 - 心爱的.flac
选自专辑《超级喜欢》,卓文萱,895Kbps,2015-08-06,xirg,http://pan.baidu.com/s/1i3nfGZr,ape,"选自专辑《超级喜欢》,895Kbps,30.5M,国语,2015-08-06",国语,一句话,30.5M,卓文萱 - 一句话.ape
选自专辑《超级喜欢》,卓文萱,1411Kbps,2015-08-09,hb8q,http://pan.baidu.com/s/1pJpBA5P,wav,"选自专辑《超级喜欢》,1411Kbps,30.9M,国语,2015-08-09",国语,超级喜欢,30.9M,卓文萱 - 超级喜欢.wav
选自专辑《灼乐感》,卓文萱,761Kbps,2015-08-11,q3b8,http://pan.baidu.com/s/1ntKNWPr,flac,"选自专辑《灼乐感》,761Kbps,23.2M,国语,2015-08-11",国语,幸福的理由,23.2M,卓文萱 - 幸福的理由.flac
